# gramatica
Q | Я давно мечтал ＿＿ такой возможности. | о | про | за | над | Мечтать о + предложный падеж.
Q | Вам нужно время подумать. Что скажете? | Хороший вопрос. Позвольте мне немного подумать. | Не знаю. | Понятия не имею. | Спросите другого. | Выиграть время.
Q | Вы спрашиваете дорогу. Что скажете? | Простите, как пройти на вокзал? | Вокзал где? | Скажи вокзал. | Вокзал, быстро! | Вежливый вопрос.
Q | Вы жалуетесь в гостинице. Что скажете? | К сожалению, в моём номере не работает отопление. Не могли бы вы проверить? | Ваше отопление — мусор. | Немедленно почините. | Ваш отель худший. | Вежливая жалоба.
Q | Вас поздравляют с экзаменом. Что скажете? | Большое спасибо, я очень рад. | Конечно. | Это было легко. | Я знаю. | Естественный ответ.
Q | Вы делаете предложение. Что скажете? | Как насчёт того, чтобы перенести встречу? | Переноси. | Встречу перенеси ты. | Просто перенесите. | Предложение.
Q | Вы высказываете мнение. Что скажете? | По-моему, нам следует продолжить проект. | Я мнение проект. | Проект — это мнение. | Мнение продолжить. | Формула мнения.
Q | Вы подтверждаете согласие. Что скажете? | Совершенно верно, я думаю так же. | Да нет. | Это неправда. | Может, так. | Согласие.
Q | Вы просите помощи. Что скажете? | Не могли бы вы мне немного помочь? | Помоги сейчас. | Ты помогаешь. | Дай помощь. | Вежливая просьба.
Q | Кто-то извиняется за опоздание. Что скажете? | Ничего страшного, проходите, садитесь. | Это ваши проблемы. | Слишком поздно! | Опять! | Понимающий ответ.
Q | Вы не знаете ответа на собеседовании. Что скажете? | Точно не знаю, но с удовольствием выясню и отвечу. | Не знаю. | Понятия нет. | Спросите другого. | Профессиональный ответ.
Q | Вы хотите попросить счёт в ресторане. Что скажете? | Не могли бы вы принести счёт, пожалуйста? | Счёт! | Дай счёт. | Плати сейчас. | Вежливая просьба.
Q | Вы хотите завершить разговор. Что скажете? | Было приятно поговорить, но, к сожалению, мне пора. | Я ухожу. | Хватит болтать. | Пока, скучно. | Вежливое завершение.
Q | Вы начинаете объяснение. Что скажете? | Позвольте кратко объяснить, как это работает. | Быстро объясняю как. | Объяснять я сейчас. | Так и есть. | Формальное вступление.
Q | Вы заканчиваете презентацию. Что скажете? | Благодарю за внимание, готов ответить на ваши вопросы. | Всё. | Это всё, пока. | Кончено, уходите. | Завершение.
Q | Вы хотите подчеркнуть важный момент. Что скажете? | Хочу подчеркнуть, что безопасность стоит на первом месте. | Безопасность — это безопасность. | Подчёркиваю безопасность. | Я безопасность. | Подчёркивание.
Q | Вы приводите пример. Что скажете? | Например, новая автобусная линия. | Пример автобус. | Автобус новый пример есть. | Примеры автобус из. | Пример.
Q | Вы выражаете неуверенность. Что скажете? | Не совсем уверен, но, кажется, это вторник. | Вторник не уверен. | Вторник уверен не я. | Я не вторник. | Неуверенность.
Q | Вы даёте совет. Что скажете? | На вашем месте я бы принял это предложение. | Принимай. | Ты должен принять. | Предложение принять сейчас. | Совет.
Q | Вы прощаетесь после делового ужина. Что скажете? | Благодарю за приглашение, вечер был очень приятным. | Спасибо, пока. | Иду домой. | Ужин был так себе. | Формальное прощание.
Q | Вы мягко критикуете. Что скажете? | Мне кажется, отчёт мог бы быть чуть подробнее. | Отчёт плохой. | Ваш отчёт ничего не стоит. | Он непригоден. | Мягкая критика.
Q | Вы даёте обещание. Что скажете? | Я прослежу, чтобы отчёт лежал у вас на столе в понедельник. | Отчёт, может, в понедельник. | Ничего не обещаю, понедельник. | Понедельник, отчёт, возможно. | Обещание.
Q | Вы приглашаете кого-то высказаться. Что скажете? | Что вы об этом думаете, Анна Ивановна? | Анна, говори. | Скажите быстро. | Анна, сейчас. | Вежливое приглашение.
Q | Вы просите понимания. Что скажете? | Прошу понять, что нам пришлось перенести собрание. | Поймите. | Собрание перенесено, всё. | Вы должны понять. | Просьба о понимании.
Q | Вы выражаете удивление. Что скажете? | Правда? Я совсем этого не знал! | Вы лжёте. | Невозможная вещь. | Это удивляет меня. | Удивление.
Q | Вы предлагаете напиток. Что скажете? | Могу я предложить вам кофе? | Пей кофе. | Ты хочешь кофе. | Бери кофе. | Вежливое предложение.
Q | Вам предлагают помощь. Что скажете? | Спасибо, это очень любезно, но я справлюсь сам. | Ты мне не нужен. | Нет. | Отстаньте. | Вежливый отказ.
Q | Вы смягчаете мнение. Что скажете? | Возможно, этой меры будет недостаточно. | Её всегда мало. | Все это знают. | Так и есть, точка. | Смягчение.
Q | Вы сравниваете два варианта. Что скажете? | С одной стороны, это дешевле, с другой — менее долговечно. | Дёшево и долго нет. | Дёшево или долго. | Один есть, другого нет. | Противопоставление.
Q | Вы меняете тему. Что скажете? | Кстати, вы слышали о новом проекте? | Другая тема. | Хватит, тема. | Смени тему. | Смена темы.
Q | Вы просите пояснить термин. Что скажете? | Что именно вы имеете в виду под этим словом? | Объясни слово. | Слово что. | Не понимаю. | Уточнение.
Q | Вы подтверждаете встречу. Что скажете? | Значит, встречаемся в четверг в десять. | Четверг десять мы. | Четверг, я приду. | Четверг десять ты. | Подтверждение.
Q | Вам сообщают плохую новость. Что скажете? | Мне очень жаль. Могу ли я чем-то помочь? | Это ваша вина. | Ничего страшного. | Такова жизнь. | Сочувствие.
Q | Вы просите тишины. Что скажете? | Не могли бы вы говорить немного тише? | Тихо! | Заткнитесь. | Хватит шуметь. | Вежливая просьба.
Q | Вы спрашиваете чьё-то согласие. Что скажете? | Вы согласны с этим? | Согласен? | Вы согласны это? | Да или что? | Вежливый вопрос.
Q | Вы выражаете сожаление. Что скажете? | Мне очень жаль, что мы не пришли к соглашению. | Жаль соглашение нет. | Нет соглашения, досадно. | Не вышло, как обидно. | Формальное сожаление.
Q | Вы извиняетесь за опоздание. Что скажете? | Прошу прощения за опоздание: поезд задержался. | Опоздание извини. | Я опоздал, да. | Поздно поезд я. | Формальное извинение.
Q | Вы подводите итог. Что скажете? | Подводя итог, нам нужно сохранять гибкость. | Итог мы гибкие. | Конец гибкие. | Всё гибко, конец. | Резюме.
Q | Вы просите время. Что скажете? | Можно мне подумать до завтра? | Думаю завтра. | Завтра думать ты. | Не думать. | Просьба о сроке.
Q | Вы представляете человека. Что скажете? | Позвольте представить мою коллегу, госпожу Веберову. | Вот Веберова, смотри. | Веберова, ты. | Коллега Веберова здесь. | Представление.
Q | Вы благодарите за подарок. Что скажете? | Это так любезно с вашей стороны, большое спасибо! | Спасибо подарок. | У меня подарок. | Ну, да. | Благодарность.
Q | Вы подкрепляете утверждение. Что скажете? | Это можно доказать актуальными цифрами. | Так и есть, верьте мне. | Цифры те же. | Все так говорят. | Аргумент.
Q | Вы звоните коллеге. Что скажете? | Добрый день, могу ли я поговорить с госпожой Веберовой? | Веберова, сейчас! | Хочу Веберову. | Дай Веберову. | Вежливый звонок.
Q | Вы хотите выступить на собрании. Что скажете? | Если позволите, я хотел бы сделать замечание. | Моя очередь. | Слушайте меня! | Говорю сейчас. | Взять слово.
Q | Вы просите перенести встречу. Что скажете? | Нельзя ли перенести нашу встречу на следующую неделю? | Встреча неделя ты. | Переношу, ладно. | Встреча ушла. | Вежливая просьба.
Q | Вы соглашаетесь с оговоркой. Что скажете? | В принципе я согласен, но вижу риск. | Не согласен, да. | Хорошо, но нет. | Да и нет ничего. | Условное согласие.
