# gramatica
Q | Not until the report was published ＿＿ the extent of the damage. | did we realise | we realised | we did realise | realised we | Tras "Not until" al inicio se invierte auxiliar + sujeto: did we realise.
Q | Choose the best concluding sentence for an essay arguing that homework should be reduced. | On balance, reducing homework would benefit pupils without harming their learning. | And that is why I like sleep. | Homework is homework. | Thank you for reading. | Conclusión que resume la postura.
Q | Which sentence avoids repetition most effectively? | The manager praised the team, whose hard work she called exemplary. | The manager praised the team and the manager praised the hard work of the team. | The manager praised the team, the team worked hard, the manager said. | The manager, the manager praised the team. | Reformulación con relativa evita repeticiones.
Q | Which is the best rewriting? 'The chairman resigned. He was ill.' | The chairman resigned on account of illness. | The chairman resigned, ill he was. | The chairman resigned because he ill. | The chairman was ill, he resigned him. | Se combinan las oraciones con on account of.
Q | Rewrite: 'People say the manager is retiring.' | The manager is said to be retiring. | The manager says to retire. | It is said the manager to retire. | The manager is saying retiring. | Pasiva impersonal.
Q | Rewrite with 'unless': 'If you don't leave now, you'll miss the flight.' | Unless you leave now, you'll miss the flight. | Unless you don't leave now, you'll miss the flight. | Unless you leaving now, you'll miss the flight. | Unless you left now, you'll miss the flight. | Unless equivale a if not.
Q | Rewrite: 'I regret not telling her.' | I wish I had told her. | I wish I told her. | I hope I told her. | I would tell her. | Lamento por el pasado: wish + past perfect.
Q | Rewrite using 'so': 'The film was so long that we left early.' | The film was so long that we left early. | The film was such long that we left early. | The film was so long than we left early. | The film so was long that we left early. | So + adjetivo + that.
Q | Which sentence is grammatically correct? | Having been warned, he took an umbrella. | Having warned, he took an umbrella. | Being warned already, he take an umbrella. | Have been warned, he took an umbrella. | Participio perfecto pasivo.
Q | Which sentence contains a dangling modifier? | Walking down the street, the trees looked beautiful. | Walking down the street, I admired the trees. | As I walked down the street, the trees looked beautiful. | While walking, I noticed the trees. | En A el sujeto de walking no es el mismo que trees.
Q | Which sentence is most concise? | We met on Tuesday. | We had a meeting that took place on the day of Tuesday. | We had a meeting that was held on Tuesday. | The meeting that we had was on Tuesday. | La versión concisa evita rodeos.
Q | Which sentence uses parallel structure correctly? | She enjoys hiking, swimming and cycling. | She enjoys hiking, to swim and cycling. | She enjoys to hike, swimming and cycle. | She enjoys hiking, swim and cycling. | Estructuras paralelas: tres gerundios.
Q | Choose the correct spelling. | accommodation | accomodation | acommodation | acommodatión | Se escribe con doble c y doble m.
Q | Choose the correct spelling. | necessary | neccessary | necesary | necessery | Una c y dos s.
Q | Choose the correct spelling. | occurrence | occurence | ocurrence | occurance | Dos c y dos r.
Q | Choose the correct spelling. | definitely | definately | definitly | definetely | Definitely.
Q | Choose the correct spelling. | separate | seperate | separete | seprate | Separate.
Q | Choose the correct spelling. | embarrassing | embarassing | embarrasing | embaressing | Doble r y doble s.
Q | Choose the correct word: The ＿＿ of the new law was unexpected. | effect | affect | effective | effecting | Effect = sustantivo (efecto).
Q | Choose the correct word: The new manager will ＿＿ many changes. | effect | affect | affects to | effective | Effect (verbo) = llevar a cabo; affect = influir.
Q | Choose the correct word: The lecturer's remarks ＿＿ to the recent decline. | referred | preferred | deferred | conferred | Refer to = referirse a.
Q | Choose the correct word: The team was ＿＿ by the sudden departure. | affected | effected | infected | perfected | Affected = afectado.
Q | Choose the correct word: We need a ＿＿ of the evidence. | review | preview | revue | reveal | Review = revisión.
Q | Choose the correct word: The council approved the ＿＿ measures. | proposed | purposed | proposal | proposing | Proposed measures = medidas propuestas.
Q | Choose the correct preposition: The report focuses ＿＿ recent trends. | on | in | at | with | Focus on.
Q | Choose the correct preposition: Consumers are increasingly sceptical ＿＿ such claims. | about | for | to | of | Sceptical about.
Q | Choose the correct preposition: She is well qualified ＿＿ the post. | for | to | at | on | Qualified for.
Q | Choose the correct preposition: The article draws attention ＿＿ the risks. | to | for | at | on | Draw attention to.
Q | Choose the correct preposition: The results are in line ＿＿ expectations. | with | to | on | at | In line with.
Q | Choose the correct preposition: The decision was based ＿＿ reliable data. | on | in | at | with | Be based on.
Q | Choose the more formal word: We need to ＿＿ the problem. | address | talk about | go over | look at | Address = abordar (registro formal).
Q | Choose the more formal word: The committee will ＿＿ the proposal next week. | consider | check out | think about | look over | Consider es más formal.
Q | Choose the more formal word: Please ＿＿ the enclosed form. | complete | fill up | do | make | Complete = rellenar (formal).
Q | Choose the more formal word: The company plans to ＿＿ its operations. | expand | grow up | make bigger | blow up | Expand es la opción formal.
Q | Choose the more formal word: We regret to ＿＿ you that the event is cancelled. | inform | tell | say | let know | Inform = comunicar formalmente.
Q | Choose the more formal word: Employees are ＿＿ to submit their forms by Friday. | required | wanted | told off | made up | Required = obligados.
Q | Correct the error: 'Despite of the rain, we went out.' | Despite the rain, we went out. | Despite of the rain we went out. | Despite from the rain, we went out. | Despite for the rain, we went out. | Despite no lleva of.
Q | Correct the error: 'The informations were useful.' | The information was useful. | The informations was useful. | The information were useful. | The informations were usefuls. | Information es incontable.
Q | Correct the error: 'She suggested me to leave.' | She suggested that I leave. | She suggested me leaving. | She suggested me to leaving. | She suggested I to leave. | Suggest + that + sujeto + base verb.
Q | Correct the error: 'I am agree with you.' | I agree with you. | I am agree with you. | I agree to you. | I am agreeing with you. | Agree es verbo, no adjetivo.
Q | Correct the error: 'He explained me the problem.' | He explained the problem to me. | He explained me the problem. | He explained to the problem me. | He explained for me the problem. | Explain something to someone.
Q | Correct the error: 'Everyone were happy.' | Everyone was happy. | Everyone were happy. | Everybody are happy. | Everyone be happy. | Everyone es singular.
Q | Correct the error: 'I've lived here since three years.' | I've lived here for three years. | I've lived here since three years. | I live here since three years. | I've lived here during three years. | For + duración.
Q | Correct the error: 'The furnitures are new.' | The furniture is new. | The furnitures are new. | The furniture are new. | The furnitures is new. | Furniture es incontable.
Q | Correct the error: 'It depends of the weather.' | It depends on the weather. | It depends of the weather. | It depends in the weather. | It depends the weather. | Depend on.
Q | Correct the error: 'She made a research on the topic.' | She did research on the topic. | She made a research on the topic. | She did a research on the topic. | She made researches on the topic. | Research es incontable: do research.
Q | Correct the error: 'I look forward to see you.' | I look forward to seeing you. | I look forward to see you. | I look forward seeing you. | I look forward to have seen you. | Look forward to + gerundio.
Q | Correct the error: 'There are less people than last year.' | There are fewer people than last year. | There are less people than last year. | There are little people than last year. | There is less people than last year. | Fewer con contables.
Q | Correct the error: 'Between you and I, it's a mistake.' | Between you and me, it's a mistake. | Between you and I, it's a mistake. | Between I and you, it's a mistake. | Between yourself and I, it's a mistake. | Tras preposición: pronombre objeto (me).
Q | Correct the error: 'He is more taller than me.' | He is taller than me. | He is more taller than me. | He is most tall than me. | He is more tall than me. | Comparativo sintético sin more.
Q | Correct the error: 'I didn't see nobody.' | I didn't see anybody. | I didn't see nobody. | I did see nobody not. | I didn't saw anybody. | Evitar doble negación.
Q | Correct the error: 'She's married with a doctor.' | She's married to a doctor. | She's married with a doctor. | She's married by a doctor. | She's married at a doctor. | Be married to.
Q | Correct the error: 'I have been knowing him for years.' | I have known him for years. | I have been knowing him for years. | I know him since years. | I am knowing him for years. | Los verbos de estado (know) no van en forma continua.
Q | Correct the error: 'If I would have time, I would help.' | If I had time, I would help. | If I would have time, I would help. | If I have time, I would help. | If I will have time, I would help. | Tipo 2: if + pasado simple.
Q | Choose the best linking word: ＿＿ he was tired, he finished the report. | Although | Because | Therefore | Moreover | Although introduce concesión.
Q | Choose the best linking word: The road was closed. ＿＿, we took a detour. | As a result | In contrast | Even so | For example | As a result = consecuencia.
Q | Choose the correct word: The film's ＿＿ was unexpected. | ending | ended | end up | endlessly | Sustantivo tras el posesivo.
Q | Choose the correct word: Her ＿＿ to the cause was total. | commitment | committee | commit | committed | Commitment = compromiso.
Q | Choose the correct word: The article gives a ＿＿ account of events. | balanced | balancing | balance up | balanceful | Balanced account = relato equilibrado.
Q | Choose the correct preposition: He has a great influence ＿＿ younger colleagues. | on | at | of | for | Influence on.
Q | Choose the correct preposition: The government is committed ＿＿ reducing waste. | to | for | on | at | Committed to + gerundio.
# speaking
Q | A colleague thanks you for your help. Which is the most natural reply? | Not at all, happy to help. | You are welcome to it. | Thanks you too. | It is nothing to thank. | Respuestas naturales a agradecimientos.
Q | You did not hear what the speaker said. Which is the most polite way to ask for repetition? | I'm sorry, could you say that again? | What? | Repeat! | You speak too fast. | Petición cortés.
Q | You disagree politely in a meeting. Which is best? | I see your point, but I'd argue that the data suggests otherwise. | You're wrong. | That's nonsense. | No way. | Desacuerdo diplomático.
Q | You want to interrupt politely. Which is best? | Sorry to interrupt, but may I add something? | Shut up a second. | Stop talking. | Listen to me. | Interrupción cortés.
Q | You are asked for your opinion but want to buy time. Which is best? | Well, that's an interesting question. Let me think. | I don't care. | Dunno. | Whatever. | Muletillas de reflexión adecuadas.
Q | You need to decline an invitation politely. Which is best? | I'd love to, but I'm afraid I already have plans. | No, I won't. | I don't want to. | Not my thing. | Rechazo cortés.
Q | You are making a formal complaint at a hotel. Which opening is most appropriate? | I'm afraid there's a problem with my room that I'd like to raise. | Your room is rubbish. | I demand a new room now. | Fix this or else. | Apertura formal y firme.
Q | You want to make a suggestion tactfully. Which is best? | How about trying a different approach? | Do it my way. | You must change. | It's obvious you are wrong. | Sugerencia diplomática.
Q | Someone says 'I passed my driving test!' What is the best response? | Congratulations, that's great news! | So what. | Is that so hard? | Do you want a medal? | Respuesta empática.
Q | You are asked to describe a graph showing a steady increase. Which phrase fits? | The figures rose steadily over the period. | The figures jumped up and down. | The figures were flat. | The figures fell sharply. | Descripción de una tendencia.
Q | Which phrase best introduces your personal view in a discussion? | In my opinion, the benefits outweigh the drawbacks. | The opinion is that it. | I am opinion. | For me is opinion. | Fórmula correcta de opinión.
Q | You want to ask a stranger for directions politely. Which is best? | Excuse me, could you tell me the way to the station? | Where station? | Tell me station. | Station, now! | Petición cortés.
Q | Someone offers you tea and you would like some. Which reply is natural? | Yes, please. That would be lovely. | Give me. | I take. | It is good for me to have. | Aceptación cortés.
Q | You agree strongly with a speaker. Which is best? | Absolutely, I couldn't agree more. | Yes, is it. | Agreed with. | I am agree. | Acuerdo enfático.
Q | You want to change the subject smoothly. Which is best? | By the way, have you heard about the new project? | Anyway shut up. | Change topic. | I don't like this. | Cambio de tema natural.
Q | You need to correct a mistake you made in a talk. Which is best? | Sorry, let me correct that: the figure should be twelve percent. | I made mistake. | Forget that. | It is not my fault. | Corrección profesional.
Q | Which phrase is best for hedging a claim? | It could be argued that the policy has failed. | The policy has failed, full stop. | Everybody knows the policy failed. | The policy always fails. | Hedging con could be argued.
Q | Someone apologises for being late. Which reply is most polite? | No problem at all, please take a seat. | You are always late. | Too bad. | I waited for hours. | Respuesta tranquilizadora.
Q | You do not know the answer to a question in an interview. Which is best? | I'm not sure, but I'd be happy to find out and get back to you. | No idea. | Skip. | Don't ask me. | Honesto y profesional.
Q | You want to summarise your main point. Which phrase is best? | To sum up, we need a more flexible approach. | So finally end is flexible. | Summing, I say flexible. | The last is about flexible. | Cierre de resumen.
Q | You need to ask a colleague for a favour. Which is most polite? | I wonder if you could possibly cover my shift on Friday? | Cover my shift. | You will cover my shift. | Give me your Friday. | Petición indirecta muy cortés.
Q | Someone shares bad news: 'I've lost my job.' Which is the most appropriate reply? | I'm so sorry to hear that. Is there anything I can do? | Well, that happens. | Cheer up! | Never mind. | Empatía.
Q | You want to compare two options in a presentation. Which is best? | On the one hand, it is cheaper; on the other, it is less durable. | It is cheaper and also less durable and more. | Cheaper or durable. | The one is, the other is not. | Estructura de contraste.
Q | You want to emphasise an important point. Which is best? | What I'd like to stress is that safety comes first. | Safety is the safety point. | I stress safety, stressing. | Stress is for safety. | Hendida enfática.
Q | You are asked to speculate about the future. Which is most natural? | I suspect prices will continue to rise. | Prices will continue to suspect. | I suspect that prices to rise. | I am suspecting prices rising. | Especulación con suspect.
Q | You want to clarify what someone meant. Which is best? | Do you mean that the deadline has moved? | You mean deadline move? | Deadline moved is it? | Say me if deadline. | Aclaración correcta.
Q | You want to keep the floor while thinking. Which is best? | Let me see... what I mean is that the evidence is mixed. | Uh uh uh nothing. | I stop. | Silence. | Relleno controlado.
Q | You are thanking a group at the end of a presentation. Which is best? | Thank you all for your attention; I'd be happy to take questions. | Finished. | The end, bye. | That's all folks, go. | Cierre profesional.
Q | Someone compliments your presentation. Which is a modest, natural reply? | Thanks, I'm glad it went well. | Yes, I know, I'm great. | It was nothing special, you're lying. | No comment. | Modestia natural.
Q | You want to express uncertainty. Which is best? | I'm not entirely sure, but I think it might be Tuesday. | It is Tuesday maybe surely. | Tuesday is not sure. | I sure not Tuesday. | Expresa incertidumbre.
Q | You need to refuse a request firmly but politely. Which is best? | I'm afraid that's not something I'm able to do. | Never. | Go away. | No, obviously. | Rechazo firme y cortés.
Q | You are asked to explain a delay. Which is the most professional? | The delay was caused by a supplier issue, which we have since resolved. | It's not my problem. | Somebody else messed up. | Delays happen. | Explicación profesional.
Q | You wish to express a preference. Which is best? | I'd rather we postponed the meeting. | I would rather that we postpone to meeting. | I rather postpone. | I prefer than postponing. | Would rather + sujeto + pasado.
Q | You want to ask for the bill in a restaurant. Which is best? | Could we have the bill, please? | Bill! | Give bill. | You bring bill. | Petición cortés.
Q | You are asked whether you mind a window open. Which reply means 'I don't mind'? | Not at all, go ahead. | Yes, please do. | I'd rather not. | Absolutely, I do. | Respuesta a Do you mind?: no = permiso.
Q | You want to express surprise politely. Which is best? | Really? I had no idea! | You lie. | Impossible thing. | It is surprising me. | Sorpresa natural.
Q | You want to ask for clarification of a term. Which is best? | Sorry, what exactly do you mean by 'leverage' here? | Explain leverage. | Leverage what? | I no understand. | Aclaración formal.
Q | You need to end a conversation politely. Which is best? | It's been lovely talking to you, but I must dash. | I go now. | Enough talk. | Bye, I'm bored. | Despedida educada.
Q | You want to make a promise. Which is best? | I'll make sure the report is on your desk by Monday. | I promise you the report Monday desk. | Report will be. | Maybe Monday report. | Promesa clara.
Q | You are asked to give advice. Which is best? | If I were you, I'd accept the offer. | You accept the offer or fail. | Accept offer. | The offer is accept. | Consejo con if I were you.
Q | You want to express a mild criticism. Which is best? | I feel the report could have been a little more detailed. | The report is bad. | Your report is rubbish. | You failed with the report. | Crítica suave.
Q | You want to express a strong opinion tactfully. Which is best? | I feel strongly that we should reconsider. | Reconsider now. | It's stupid not to. | I hate it. | Firmeza con tacto.
Q | You are asked to describe your strengths. Which reply is best? | I'm methodical and I work well under pressure. | I'm the best. | Nothing. | I am strengths. | Respuesta de entrevista.
Q | You want to check that the listener follows. Which is best? | Does that make sense so far? | You understand? | Are you stupid? | Get it? | Comprobación cortés.
Q | You want to express gratitude formally. Which is best? | I'd like to express my sincere gratitude for your support. | Thanks lots, bye. | Thanks you for all. | I thankful you. | Agradecimiento formal.
Q | You want to politely correct someone's factual error. Which is best? | Actually, I think the meeting is on Thursday, not Wednesday. | You're wrong, it's Thursday. | Wrong day. | Idiot, Thursday. | Corrección cortés.
Q | You want to add an example. Which phrase is best? | For instance, the new bus service has cut journey times. | The new bus service is instance. | Example is the bus. | Instance for bus. | Fórmula de ejemplificación.
Q | You want to say you'll think about an offer. Which is best? | Thank you; I'll give it some thought and let you know. | I think, later. | Maybe no maybe yes. | Think me. | Respuesta diplomática.
Q | You want to invite someone to speak. Which is best? | Would you like to add anything, Maria? | Speak, Maria! | Maria, talk. | Maria you say. | Invitación cortés.
Q | You want to ask someone to speak more slowly. Which is best? | Could you speak a little more slowly, please? | Slow! | Speak less fast. | Too much fast. | Petición cortés.
