# gramatica
Q | Il faut que tu ＿＿ plus tôt demain. | viennes | viens | viendras | viendrais | Après il faut que: subjonctif présent.
Q | Quelle phrase ne contient aucune faute ? | Il faut que nous partions tôt. | Il faut que nous partons tôt. | Il faut que nous partirons tôt. | Il faut que nous partirions tôt. | Subjonctif présent.
Q | Quelle phrase ne contient aucune faute ? | Je voudrais que vous m'aidiez. | Je voudrais que vous m'aidez. | Je voudrais que vous m'aiderez. | Je voudrais que vous m'aidiez pas. | Subjonctif après vouloir que.
Q | Quelle phrase ne contient aucune faute ? | Quels que soient vos choix, je vous soutiens. | Quel que soient vos choix, je vous soutiens. | Quelque soient vos choix, je vous soutiens. | Quels que sont vos choix, je vous soutiens. | Quel que + être au subjonctif, accord.
Q | Transformez au passif: « On a construit un pont. » | Un pont a été construit. | Un pont a construit. | Un pont est construire. | Un pont a été construite. | Passé composé passif.
Q | Transformez au passif: « Le jury choisira le gagnant. » | Le gagnant sera choisi par le jury. | Le gagnant choisira le jury. | Le gagnant est choisir. | Le gagnant a été choisira. | Futur passif.
Q | Transformez au discours indirect: Il dit: « Je suis fatigué. » | Il dit qu'il est fatigué. | Il dit que je suis fatigué. | Il dit qu'il était fatigué hier. | Il dit qu'il soit fatigué. | Discours indirect présent.
Q | Transformez au discours indirect: Elle a dit: « J'arriverai demain. » | Elle a dit qu'elle arriverait le lendemain. | Elle a dit qu'elle arrivera demain. | Elle a dit qu'elle arrive demain. | Elle a dit que j'arriverai demain. | Concordance des temps.
Q | Complétez: Si tu m'avais prévenu, je ＿＿ venu. | serais | suis | serai | étais | Si + plus-que-parfait ⇒ conditionnel passé (serais venu).
Q | Reformulez avec « bien que »: « Il est malade mais il travaille. » | Bien qu'il soit malade, il travaille. | Bien qu'il est malade, il travaille. | Bien qu'il serait malade, il travaille. | Bien qu'il était malade, il travaille. | Bien que + subjonctif.
Q | Reformulez avec « afin que »: « Je te dis ça pour que tu comprennes. » | Je te dis ça afin que tu comprennes. | Je te dis ça afin que tu comprends. | Je te dis ça afin de tu comprennes. | Je te dis ça afin que tu comprendras. | Afin que + subjonctif.
Q | Reformulez avec gérondif: « Il travaille et il écoute de la musique. » | Il travaille en écoutant de la musique. | Il travaille en écouter de la musique. | Il travaille écoutant en de la musique. | Il travaille en écoute de la musique. | Gérondif.
Q | Reformulez: « C'est ce livre que j'aime. » | Ce livre, je l'aime. | Ce livre, j'aime le. | Ce livre, je aime. | Ce livre, j'aime lui. | Dislocation avec pronom.
Q | Quelle phrase est la plus concise ? | Nous nous sommes rencontrés mardi. | Nous avons eu une rencontre qui a eu lieu le jour de mardi. | La rencontre que nous avons eue était mardi. | Il y a eu une rencontre entre nous mardi dernier passé. | Concision.
Q | Quelle phrase est parallèle ? | Elle aime lire, nager et cuisiner. | Elle aime lire, la natation et cuisiner. | Elle aime de lire, nager et la cuisine. | Elle aime lire, nager et à cuisiner. | Parallélisme.
Q | Quelle phrase évite la répétition ? | Le directeur a félicité l'équipe, dont il a salué le travail. | Le directeur a félicité l'équipe et le directeur a salué le travail de l'équipe. | Le directeur a félicité l'équipe, l'équipe a travaillé, le directeur l'a dit. | Le directeur, le directeur a félicité l'équipe. | Relative pour éviter la répétition.
Q | Quel est le meilleur début d'un essai sur l'écologie ? | La protection de l'environnement est l'un des grands défis de notre époque. | Je vais parler d'écologie. | L'écologie, c'est l'écologie. | Bonjour, aujourd'hui l'écologie. | Introduction.
Q | Quelle est la meilleure conclusion d'un essai ? | En définitive, la protection de l'environnement est indispensable. | Voilà, c'est tout. | Fin. | Merci de m'avoir lu. | Conclusion.
Q | Quel est le meilleur registre pour un article de presse ? | Le nombre d'étudiants a augmenté ces dernières années. | Y a plein d'étudiants maintenant. | Ça déborde d'étudiants, c'est fou. | Les étudiants, ils sont trop nombreux. | Registre neutre.
Q | Quel verbe convient ? Il ＿＿ une décision. | prend | fait | donne | met | Prendre une décision.
Q | Quel verbe convient ? Le gouvernement ＿＿ des mesures. | prend | fait | met | donne | Prendre des mesures.
Q | Quel verbe convient ? Cette loi ＿＿ en vigueur demain. | entre | va | passe | vient | Entrer en vigueur.
Q | Quel verbe convient ? Elle ＿＿ un rôle important. | joue | fait | tient de | a fait | Jouer un rôle.
Q | Quel verbe convient ? Il ＿＿ la responsabilité de l'échec. | assume | fait | donne | met | Assumer la responsabilité.
Q | Quel verbe convient ? Le rapport ＿＿ à la conclusion que... | aboutit | arrive à la | va à | vient à | Aboutir à.
Q | Quel nom convient ? Nous faisons face à un grand ＿＿. | défi | défit | défaut de | défilé | Défi = reto.
Q | Quel nom convient ? Il a un vrai ＿＿ pour les langues. | talent | talon | tolérance | tablette | Talent pour.
Q | Quelle préposition convient ? Il a insisté ＿＿ ce point. | sur | à | de | pour | Insister sur.
Q | Quelle préposition convient ? Ils ont abouti ＿＿ un accord. | à | de | pour | sur | Aboutir à.
Q | Quelle préposition convient ? Elle est responsable ＿＿ la sécurité. | de | à | pour de | sur | Être responsable de.
Q | Quelle préposition convient ? Il s'est heurté ＿＿ un obstacle. | à | de | pour | sur | Se heurter à.
Q | Quelle préposition convient ? Cela dépend ＿＿ les circonstances. | des | aux | sur les | pour les | Dépendre de.
Q | Quelle préposition convient ? Il se fie ＿＿ son intuition. | à | de | pour | sur | Se fier à.
Q | Quelle forme est correcte ? Nous avons ＿＿ le résultat. | atteint | atteinte | atteints | atteignu | Participe passé d'atteindre.
Q | Quelle forme est correcte ? Il a ＿＿ la lettre. | écrit | écris | écrite | écrire | Participe passé d'écrire.
Q | Quelle forme est correcte ? Elle a ＿＿ ses clés. | perdu | perdue | perdus | perdre | Participe passé de perdre.
Q | Quelle forme est correcte ? Les livres qu'il a ＿＿ sont épuisés. | publiés | publié | publiée | publier | Accord avec COD antéposé pluriel.
Q | Quelle forme est correcte ? Ils se sont ＿＿ trop tard. | réveillés | réveillé | réveiller | réveillée | Accord du pronominal.
Q | Quelle forme est correcte ? Les décisions ont été ＿＿ hier. | prises | pris | prise | prendre | Accord passif.
Q | Quelle forme est correcte ? Elles sont ＿＿ à l'heure. | arrivées | arrivé | arrivés | arrivée | Être + accord féminin pluriel.
Q | Quelle forme est correcte ? Ce matin, nous ＿＿ le courrier. | avons reçu | sommes reçu | ont reçu | avons reçus | Avoir + participe passé.
Q | Quelle forme est correcte ? Il faut que tu ＿＿ prudent. | sois | es | seras | serais | Subjonctif d'être.
Q | Quelle forme est correcte ? Il est indispensable que nous ＿＿ ensemble. | travaillions | travaillons | travaillerons | travaillions eu | Subjonctif.
Q | Quelle forme est correcte ? Il n'y a rien ＿＿ je puisse faire. | que | dont | qui | quoi | Subjonctif dans la relative avec que.
Q | Quelle forme est correcte ? Il a dit qu'il ＿＿ bientôt. | viendrait | viendra | viendrais | vienne | Concordance.
Q | Quelle forme est correcte ? Tu ＿＿ cinq minutes de retard. | as | es | a | avez | Avoir du retard.
Q | Quelle forme est correcte ? C'est la seule solution ＿＿ soit possible. | qui | que | dont | où | Relative sujet.
Q | Quelle forme est correcte ? Cette décision, je ne ＿＿ ai jamais regrettée. | l' | lui | y | en | Pronom COD féminin.
Q | Quelle forme est correcte ? Il ne parle ＿＿ à personne. | pas | jamais rien | que | plus rien | Négation.
Q | Quelle forme est correcte ? Elle a ＿＿ de partir. | décidé | décidée | décidés | décider | Participe passé avec avoir sans COD antéposé.
Q | Quelle forme est correcte ? Ils ont ＿＿ les résultats. | comparé | comparés | comparée | comparer | Participe passé de comparer.
Q | Choisissez le connecteur: Il a beaucoup travaillé; ＿＿, il a réussi. | aussi | pourtant | en revanche | sinon | Aussi en début de phrase = c'est pourquoi.
# speaking
Q | Vous n'avez pas compris. Que dites-vous poliment ? | Excusez-moi, pourriez-vous répéter, s'il vous plaît ? | Quoi ? | Répète ! | Encore ! | Demande polie.
Q | Un collègue vous remercie. Que répondez-vous ? | Je vous en prie, c'est tout naturel. | Merci aussi toi. | De rien pas. | Il n'y a de quoi. | Réponse naturelle.
Q | Vous souhaitez exprimer un désaccord poli. Que dites-vous ? | Je ne partage pas tout à fait votre avis, car les chiffres montrent autre chose. | Faux ! | N'importe quoi. | C'est absurde. | Désaccord poli.
Q | Vous voulez interrompre poliment. Que dites-vous ? | Excusez-moi de vous interrompre, puis-je ajouter quelque chose ? | Tais-toi. | C'est mon tour. | Stop. | Interruption polie.
Q | Vous refusez une invitation. Que dites-vous ? | Merci beaucoup, mais malheureusement j'ai déjà un engagement. | Non. | Pas envie. | Je ne viens pas, salut. | Refus poli.
Q | Vous avez besoin de temps pour réfléchir. Que dites-vous ? | C'est une question intéressante; laissez-moi y réfléchir un instant. | Sais pas. | Aucune idée. | Demande à un autre. | Gagner du temps.
Q | Vous demandez votre chemin. Que dites-vous ? | Excusez-moi, pour aller à la gare, s'il vous plaît ? | La gare où ? | Dis la gare. | Gare, vite ! | Demande polie.
Q | Vous vous plaignez à l'hôtel. Que dites-vous ? | Malheureusement, le chauffage de ma chambre ne fonctionne pas; pourriez-vous vérifier ? | Votre chauffage est nul. | Réparez ça tout de suite. | Votre hôtel est mauvais. | Plainte formelle.
Q | On vous félicite pour votre examen. Que répondez-vous ? | Merci beaucoup, je suis très content. | Oui, évidemment. | C'était facile. | Je sais. | Réponse naturelle.
Q | Vous faites une proposition. Que dites-vous ? | Et si nous reportions le rendez-vous ? | On reporte. | Rendez-vous report. | Reporte, toi. | Suggestion.
Q | Vous donnez votre opinion. Que dites-vous ? | À mon avis, nous devrions poursuivre ce projet. | Je avis projet. | Le projet est avis. | Avis poursuivre. | Formule d'opinion.
Q | Vous confirmez un accord. Que dites-vous ? | Tout à fait, je suis du même avis. | Oui non. | Pas vrai. | Peut-être comme ça. | Accord.
Q | Vous demandez de l'aide. Que dites-vous ? | Pourriez-vous m'aider un instant, s'il vous plaît ? | Aide-moi maintenant. | Tu m'aides. | Donne aide. | Demande polie.
Q | Quelqu'un s'excuse de son retard. Que répondez-vous ? | Ce n'est pas grave, asseyez-vous. | C'est votre problème. | Trop tard ! | Encore ! | Réponse compréhensive.
Q | Vous ne savez pas répondre en entretien. Que dites-vous ? | Je ne peux pas vous répondre précisément, mais je me renseignerai volontiers. | Je sais pas. | Aucune idée. | Demandez à un autre. | Réponse professionnelle.
Q | Vous voulez l'addition au restaurant. Que dites-vous ? | Pourrions-nous avoir l'addition, s'il vous plaît ? | L'addition ! | Donne l'addition. | Payer maintenant. | Demande polie.
Q | Vous voulez terminer la conversation. Que dites-vous ? | J'ai été ravi de vous parler, mais je dois malheureusement partir. | Je pars. | Assez parlé. | Salut, ennuyeux. | Clôture polie.
Q | Vous introduisez une explication. Que dites-vous ? | Je voudrais brièvement expliquer comment cela fonctionne. | J'explique bref comment. | Expliquer moi maintenant. | C'est comme ça. | Introduction formelle.
Q | Vous concluez une présentation. Que dites-vous ? | Je vous remercie de votre attention; je suis à votre disposition pour vos questions. | Fini. | C'est tout, au revoir. | Terminé, partez. | Clôture professionnelle.
Q | Vous voulez souligner un point. Que dites-vous ? | Je tiens à souligner que la sécurité passe avant tout. | La sécurité est sécurité. | Je souligne sécurité. | Moi sécurité. | Emphase.
Q | Vous donnez un exemple. Que dites-vous ? | Un exemple en est le nouveau service de bus. | Exemple le bus. | Bus nouveau exemple est. | Exemples bus de. | Exemplification.
Q | Vous exprimez une incertitude. Que dites-vous ? | Je n'en suis pas tout à fait sûr, mais je crois que c'est mardi. | C'est mardi pas sûr. | Mardi sûr non moi. | Moi pas mardi. | Incertitude.
Q | Vous donnez un conseil. Que dites-vous ? | À votre place, j'accepterais cette offre. | Accepte. | Tu dois accepter. | Offre accepter maintenant. | Conseil.
Q | Vous prenez congé à la fin d'un dîner d'affaires. Que dites-vous ? | Je vous remercie de cette invitation, la soirée a été très agréable. | Merci, salut. | Je rentre. | Le dîner était moyen. | Prise de congé formelle.
Q | Vous critiquez avec tact. Que dites-vous ? | Je trouve que le rapport pourrait être un peu plus détaillé. | Le rapport est nul. | Votre rapport ne vaut rien. | Inutilisable. | Critique tempérée.
Q | Vous faites une promesse. Que dites-vous ? | Je m'assurerai que le rapport soit sur votre bureau lundi. | Rapport peut-être lundi. | Je ne promets rien, lundi. | Lundi rapport éventuel. | Promesse.
Q | Vous invitez quelqu'un à s'exprimer. Que dites-vous ? | Qu'en pensez-vous, Madame Weber ? | Weber, parle. | Dites-moi, vite. | Weber, maintenant. | Invitation polie.
Q | Vous demandez de la compréhension. Que dites-vous ? | Je vous demande de bien vouloir comprendre que nous devons reporter la réunion. | Comprenez. | Réunion reportée, point. | Vous devez comprendre. | Demande de compréhension.
Q | Vous exprimez la surprise. Que dites-vous ? | Vraiment ? Je n'y aurais jamais pensé ! | Tu mens. | Impossible chose. | Ça surprend moi. | Surprise.
Q | Vous offrez quelque chose. Que dites-vous ? | Puis-je vous offrir un café ? | Café bois. | Tu veux café. | Prends café. | Offre polie.
Q | On vous propose de l'aide. Que répondez-vous ? | C'est très gentil, merci, mais je m'en sors. | Je n'ai pas besoin de toi. | Non. | Laisse-moi. | Refus poli.
Q | Vous atténuez votre opinion. Que dites-vous ? | Il se pourrait que cette mesure ne suffise pas. | Elle ne suffit jamais. | Tout le monde le sait. | C'est ainsi, point. | Atténuation.
Q | Vous comparez deux options. Que dites-vous ? | D'un côté, c'est moins cher; de l'autre, c'est moins durable. | Moins cher et durable pas. | Cher ou durable. | L'un est, l'autre non. | Contraste.
Q | Vous changez de sujet. Que dites-vous ? | À propos, avez-vous entendu parler du nouveau projet ? | Autre sujet. | Assez, sujet. | Changer sujet. | Changement de sujet.
Q | Vous demandez une précision. Que dites-vous ? | Qu'entendez-vous exactement par ce terme ? | Explique terme. | Terme quoi. | Je comprends pas. | Clarification.
Q | Vous confirmez un rendez-vous. Que dites-vous ? | Nous nous verrons donc jeudi à dix heures. | Jeudi dix heures nous. | Jeudi, je viens. | À jeudi dix toi. | Confirmation.
Q | Quelqu'un vous annonce un malheur. Que dites-vous ? | Je suis vraiment désolé. Puis-je faire quelque chose pour vous ? | C'est de sa faute. | Ce n'est rien. | C'est la vie. | Empathie.
Q | Vous demandez poliment le silence. Que dites-vous ? | Pourriez-vous faire un peu moins de bruit, s'il vous plaît ? | Silence ! | Tais-toi ! | Ferme-la. | Demande polie.
Q | Vous demandez l'accord de quelqu'un. Que dites-vous ? | Êtes-vous d'accord avec cela ? | Tu accord ? | D'accord vous cela ? | Oui ou quoi ? | Question polie.
Q | Vous exprimez un regret. Que dites-vous ? | Je regrette vivement que nous n'ayons pas trouvé d'accord. | Je regrette accord non. | Désolé accord. | Pas d'accord, dommage. | Regret formel.
Q | Vous vous excusez d'un retard. Que dites-vous ? | Veuillez excuser mon retard; le train avait du retard. | Retard désolé. | Moi en retard, oui. | Tard train moi. | Excuse formelle.
Q | Vous résumez. Que dites-vous ? | En résumé, nous devons rester flexibles. | Résumé nous flexibles. | Fin flexibles. | Tout flexible fin. | Résumé.
Q | Vous demandez du temps. Que dites-vous ? | Pourrais-je y réfléchir jusqu'à demain ? | Je réfléchis demain. | Demain réfléchir toi. | Réfléchir non. | Demande de délai.
Q | Vous présentez quelqu'un. Que dites-vous ? | Permettez-moi de vous présenter ma collègue, Madame Weber. | Voici Weber, voilà. | Madame Weber, vous. | Collègue Weber ici. | Présentation.
Q | Vous remerciez pour un cadeau. Que dites-vous ? | C'est vraiment très aimable de votre part, merci beaucoup ! | Merci cadeau. | J'ai un cadeau. | Bon, oui. | Remerciement.
Q | Vous étayez une affirmation. Que dites-vous ? | Cela peut être démontré à l'aide des chiffres actuels. | C'est ainsi, crois-moi. | Chiffres égaux. | Tout le monde le dit. | Argument chiffré.
Q | Vous appelez pour parler à une collègue. Que dites-vous ? | Bonjour, pourrais-je parler à Madame Weber, s'il vous plaît ? | Weber, maintenant ! | Je veux Weber. | Donne Weber. | Appel formel.
Q | Vous voulez prendre la parole en réunion. Que dites-vous ? | Si je peux me permettre une remarque... | À moi. | Écoutez-moi ! | Je parle maintenant. | Prise de parole.
Q | Vous demandez de reporter un rendez-vous. Que dites-vous ? | Serait-il possible de reporter notre rendez-vous à la semaine prochaine ? | Rendez-vous semaine toi. | Je reporte, ok. | Rendez-vous parti. | Demande polie.
Q | Vous exprimez un accord avec réserve. Que dites-vous ? | Sur le principe, je suis d'accord, mais je vois un risque. | Je ne suis pas d'accord, oui. | Tout est bien, mais non. | Oui et non rien. | Accord réservé.
