# gramatica
Q | 彼は周囲の反対を＿＿、会社を辞めて独立した。 | よそに | ものの | かたわら | ならではの | 〜をよそに = sin hacer caso de (反対をよそに).
Q | 敬語として正しいのはどれか。(社長が来る) | 社長がいらっしゃる。 | 社長が参る。 | 社長が伺う。 | 社長がおる。 | 尊敬語: いらっしゃる.
Q | 敬語として正しいのはどれか。(私が行く) | 私が参ります。 | 私がいらっしゃいます。 | 私がおいでになります。 | 私が召し上がります。 | 謙譲語: 参る.
Q | 敬語として正しいのはどれか。(先生が食べる) | 先生が召し上がる。 | 先生がいただく。 | 先生が頂戴する。 | 先生が拝見する。 | 尊敬語: 召し上がる.
Q | 敬語として正しいのはどれか。(私が食べる) | 私がいただきます。 | 私が召し上がります。 | 私がお食べになります。 | 私がいらっしゃいます。 | 謙譲語: いただく.
Q | 敬語として正しいのはどれか。(先生が言う) | 先生がおっしゃる。 | 先生が申し上げる。 | 先生が申す。 | 先生が言われ申す。 | 尊敬語: おっしゃる.
Q | 敬語として正しいのはどれか。(私が言う) | 私が申し上げます。 | 私がおっしゃいます。 | 私が言われます。 | 私が仰います。 | 謙譲語: 申し上げる.
Q | 敬語として正しいのはどれか。(お客様が見る) | お客様がご覧になる。 | お客様が拝見する。 | お客様が見せていただく。 | お客様が見られ申す。 | 尊敬語: ご覧になる.
Q | 敬語として正しいのはどれか。(私が見る) | 私が拝見します。 | 私がご覧になります。 | 私が見られます。 | 私がご覧します。 | 謙譲語: 拝見する.
Q | 敬語として正しいのはどれか。(私が知っている) | 存じております。 | ご存じでいらっしゃいます。 | お知りになっています。 | 存じ上げなさっています。 | 謙譲語: 存じる.
Q | 敬語として正しいのはどれか。(先生がする) | 先生がなさる。 | 先生がいたす。 | 先生がして申し上げる。 | 先生がさせていただく。 | 尊敬語: なさる.
Q | 助詞の使い方が正しいのはどれか。 | 彼に手紙を書いた。 | 彼へ手紙が書いた。 | 彼を手紙に書いた。 | 彼で手紙を書いた。 | 助詞: に + を.
Q | 助詞の使い方が正しいのはどれか。 | この問題について考える。 | この問題にとって考える。 | この問題によって考える。 | この問題をついて考える。 | 〜について = acerca de.
Q | 助詞の使い方が正しいのはどれか。 | 学校で勉強する。 | 学校に勉強する。 | 学校を勉強する。 | 学校が勉強する。 | 動作の場所: で.
Q | 助詞の使い方が正しいのはどれか。 | 駅に着いた。 | 駅を着いた。 | 駅で着いた。 | 駅から着いた。 | 着く: に.
Q | 助詞の使い方が正しいのはどれか。 | 母に叱られた。 | 母を叱られた。 | 母が叱られた(私が)。 | 母で叱られた。 | 受身: 〜に〜られる.
Q | 助詞の使い方が正しいのはどれか。 | 友達と会う約束をした。 | 友達を会う約束をした。 | 友達へ会う約束をした。 | 友達で会う約束をした。 | 〜と会う.
Q | 表記として正しいのはどれか。「せいかく」(性質) | 性格 | 正格 | 生格 | 姓格 | 性格 = carácter.
Q | 表記として正しいのはどれか。「いがい」(〜のほか) | 以外 | 意外 | 遺外 | 依外 | 以外 = excepto.
Q | 表記として正しいのはどれか。「そうぞう」(頭の中で思い描く) | 想像 | 創造 | 相像 | 装造 | 想像 = imaginar; 創造 = crear.
Q | 表記として正しいのはどれか。「しゅうかん」(習慣) | 習慣 | 週間 | 収監 | 修刊 | 習慣 = hábito.
Q | 表記として正しいのはどれか。「かんしん」(関心) | 関心 | 感心 | 歓心 | 寒心 | 関心 = interés.
Q | 表記として正しいのはどれか。「たいしょう」(比べる) | 対象 | 対照 | 大将 | 大笑 | 対照 = contraste; 対象 = objeto.
Q | 表記として正しいのはどれか。「ぎじゅつ」 | 技術 | 義術 | 技述 | 議術 | 技術.
Q | 表記として正しいのはどれか。「けいけん」 | 経験 | 計験 | 契験 | 軽験 | 経験.
Q | 表記として正しいのはどれか。「せきにん」 | 責任 | 積任 | 赤任 | 責認 | 責任.
Q | 表記として正しいのはどれか。「かくとく」(手に入れる) | 獲得 | 確得 | 画得 | 格得 | 獲得.
Q | 表記として正しいのはどれか。「ていあん」 | 提案 | 定案 | 停案 | 低案 | 提案.
Q | 表記として正しいのはどれか。「ふくざつ」 | 複雑 | 復雑 | 腹雑 | 服雑 | 複雑.
Q | 表記として正しいのはどれか。「えいきょう」 | 影響 | 映響 | 栄響 | 永響 | 影響.
Q | 表記として正しいのはどれか。「じょうけん」 | 条件 | 状件 | 常件 | 情件 | 条件.
Q | 表記として正しいのはどれか。「かいけつ」 | 解決 | 快決 | 開決 | 改決 | 解決.
Q | 表記として正しいのはどれか。「けっか」 | 結果 | 決果 | 欠果 | 結課 | 結果.
Q | 表記として正しいのはどれか。「きぼう」 | 希望 | 期望 | 記望 | 気望 | 希望.
Q | 表記として正しいのはどれか。「さんせい」(賛成) | 賛成 | 参成 | 算成 | 産成 | 賛成.
Q | 表記として正しいのはどれか。「はんたい」 | 反対 | 半対 | 版対 | 判対 | 反対.
Q | 文の言い換えとして最も近いのはどれか。 彼は約束を守らない。 | 彼は約束を破る。 | 彼は約束を作る。 | 彼は約束を待つ。 | 彼は約束を忘れる(記憶)。 | 守らない ≈ 破る.
Q | 文の言い換えとして最も近いのはどれか。 天気がよければ出かける。 | 天気次第で出かける。 | 天気に関係なく出かける。 | 天気が悪くても出かける。 | 天気が悪いから出かける。 | 条件.
Q | 文の言い換えとして最も近いのはどれか。 彼は努力したにもかかわらず失敗した。 | 努力したが失敗した。 | 努力したから成功した。 | 努力しないで失敗した。 | 努力したので失敗した。 | 逆接.
Q | 文の言い換えとして最も近いのはどれか。 忙しくて手が離せない。 | 忙しくて今は他のことができない。 | 忙しくて手を洗う。 | 忙しくて手が痛い。 | 忙しくて暇だ。 | 慣用表現.
Q | 文の言い換えとして最も近いのはどれか。 彼女は気が利く。 | 細かいところまで配慮できる。 | 気が短い。 | 元気がない。 | 忙しい。 | 気が利く = atento.
Q | 適切な語を選べ。 会議の結果を＿＿する。 | 報告 | 通報 | 連絡先 | 速報 | 報告する = informar.
Q | 適切な語を選べ。 問題の解決に＿＿する。 | 貢献 | 攻撃 | 気候 | 交換 | 貢献する.
Q | 適切な語を選べ。 計画を＿＿する。 | 変更 | 変換 | 変身 | 変動 | 計画を変更する.
Q | 適切な語を選べ。 意見を＿＿する。 | 主張 | 出張 | 緊張 | 拡張 | 主張する.
Q | 適切な語を選べ。 データを＿＿する。 | 分析 | 分解 | 分配 | 分担 | データを分析する.
Q | 適切な語を選べ。 責任を＿＿する。 | 追及 | 追加 | 追求 | 追跡 | 責任を追及する.
Q | 適切な語を選べ。 新しい制度を＿＿する。 | 導入 | 輸入 | 注入 | 投入 | 制度を導入する.
Q | 適切な語を選べ。 事実を＿＿する。 | 確認 | 確保 | 確立 | 確定 | 事実を確認する.
Q | 適切な語を選べ。 危険を＿＿する。 | 回避 | 避難 | 逃避 | 退避 | 危険を回避する.
Q | 適切な語を選べ。 条件に＿＿する。 | 該当 | 該博 | 該案 | 該記 | 条件に該当する.
Q | 適切な語を選べ。 情報を＿＿する。 | 共有 | 共同 | 共存 | 共感 | 情報を共有する.
Q | 助詞の使い方が正しいのはどれか。 | 彼女は音楽が好きだ。 | 彼女は音楽を好きだ。 | 彼女は音楽に好きだ。 | 彼女は音楽で好きだ。 | 好きだ: が.
Q | 敬語として正しいのはどれか。(お客様がいる) | お客様がいらっしゃる。 | お客様がおる。 | お客様がございます。 | お客様が参る。 | 尊敬語: いらっしゃる.
Q | 敬語として正しいのはどれか。(私がもらう) | 私が頂戴します。 | 私がくださいます。 | 私がお受けになります。 | 私が賜られます。 | 謙譲語: 頂戴する.
Q | 丁寧な断り方として適切なのはどれか。 | 申し訳ございませんが、お引き受けいたしかねます。 | 無理です。 | やだ。 | できるわけないでしょ。 | 丁寧な断り.
Q | 丁寧な感謝の表現として適切なのはどれか。 | 心より御礼申し上げます。 | ありがとね。 | サンキュー。 | どうも〜。 | 丁寧な礼.
Q | 丁寧な問い合わせとして適切なのはどれか。 | 恐れ入りますが、詳細をお教えいただけますでしょうか。 | 詳細教えて。 | 詳細は？ | 教えろ。 | 丁寧な問い合わせ.
Q | 助詞の使い方が正しいのはどれか。 | 友達に助けられた。 | 友達を助けられた。 | 友達で助けられた。 | 友達が助けられた。 | 受身: に.
# speaking
Q | 相手の話がよく聞き取れなかったとき、丁寧にどう言いますか。 | 恐れ入りますが、もう一度おっしゃっていただけますか。 | え？ | もう一回言って！ | 聞こえない。 | 丁寧な聞き返し.
Q | 同僚にお礼を言われたとき、自然な返事はどれですか。 | いえいえ、お役に立ててよかったです。 | 私もありがとうございます、あなた。 | お礼は要りません。 | そういうこと言わないで。 | 自然な返答.
Q | 丁寧に反対意見を述べるときはどれですか。 | おっしゃることは分かりますが、私は少し違う考えです。 | 間違ってます。 | ありえません。 | それは嘘です。 | 丁寧な反論.
Q | 相手の話に丁寧に割り込むときはどれですか。 | 話の途中で失礼ですが、一言よろしいでしょうか。 | 黙ってください。 | 今度は私の番。 | もういい。 | 丁寧な割り込み.
Q | 招待を丁寧に断るときはどれですか。 | お誘いありがとうございます。あいにく先約がありまして。 | いやです。 | 行きません。 | 行く気ないです。 | 丁寧な断り.
Q | 考える時間がほしいときはどれですか。 | いい質問ですね。少し考えさせてください。 | 知りません。 | 何も思いません。 | 他の人に聞いて。 | 時間稼ぎ.
Q | 道を尋ねるときはどれですか。 | すみません、駅へはどう行けばよろしいでしょうか。 | 駅どこ？ | 駅を言え。 | 駅、早く！ | 丁寧な質問.
Q | ホテルで苦情を伝えるときはどれですか。 | 恐れ入りますが、部屋の暖房が作動しません。確認していただけますか。 | 暖房がひどい。 | 今すぐ直せ。 | このホテルは最悪です。 | 丁寧な苦情.
Q | 試験合格を祝われたときの返事はどれですか。 | ありがとうございます。とてもうれしいです。 | 当然です。 | 簡単でした。 | 知ってます。 | 自然な返答.
Q | 提案するときの自然な表現はどれですか。 | 約束を少し延ばしてみてはいかがでしょうか。 | 延ばせ。 | 約束を延ばしますあなたが。 | 延ばしなさい、ただ。 | 提案.
Q | 意見を述べるときの自然な表現はどれですか。 | 私としては、このプロジェクトを続けるべきだと考えます。 | 私意見プロジェクト。 | プロジェクトは意見だ。 | 意見続ける。 | 意見表明.
Q | 同意を示すときはどれですか。 | おっしゃる通りです。私も同じ考えです。 | はい、いいえ。 | それは事実ではありません。 | たぶんそうかも。 | 同意.
Q | 助けを求めるときはどれですか。 | お手数ですが、少し手伝っていただけますか。 | 今すぐ手伝え。 | お前が手伝う。 | 手伝い、ください。 | 丁寧な依頼.
Q | 相手が遅刻を詫びたときの返事はどれですか。 | いえ、お気になさらずに。どうぞお掛けください。 | あなたのせいです。 | 遅すぎる！ | また遅刻だ！ | 理解ある返答.
Q | 面接で答えられない質問をされたときはどれですか。 | 正確には分かりませんが、調べてご回答いたします。 | 知りません。 | 考えていません。 | 他の人に聞いてください。 | 職業的な返答.
Q | 飲食店で勘定を頼むときはどれですか。 | お会計をお願いします。 | 勘定！ | 会計をよこせ。 | 今すぐ払う、早く。 | 丁寧な依頼.
Q | 会話を丁寧に終えるときはどれですか。 | 楽しかったです。では、そろそろ失礼いたします。 | 帰る。 | 話は終わり。 | じゃあね、つまんない。 | 丁寧な終わり方.
Q | 説明を始めるときはどれですか。 | それでは、これがどのように動くか簡単にご説明します。 | 説明する早く。 | 私今説明。 | こうなってる。 | 丁寧な導入.
Q | 発表を終えるときはどれですか。 | ご清聴ありがとうございました。ご質問があればどうぞ。 | 終わり。 | 以上、じゃ。 | 終わったので帰って。 | 発表の結び.
Q | 大事な点を強調するときはどれですか。 | 何よりも安全が第一であることを強調したいと思います。 | 安全は安全です。 | 強調安全。 | 私は安全。 | 強調表現.
Q | 例を挙げるときはどれですか。 | 例えば、新しいバス路線があります。 | 例バス。 | バス新しい例だ。 | 例のバスを。 | 例示.
Q | 確信がないときはどれですか。 | 確かではありませんが、火曜日だったと思います。 | 火曜日確かじゃない。 | 火曜日確か違う私。 | 私火曜日ない。 | 不確実.
Q | 助言するときはどれですか。 | 私があなたなら、その申し出を受けます。 | 受けろ。 | 受けなきゃだめだ。 | 申し出受ける今。 | 助言.
Q | 商談の食事のあとの挨拶はどれですか。 | ご招待ありがとうございました。楽しいひとときでした。 | ありがとう、じゃ。 | 家に帰る。 | 食事はまあまあだった。 | 丁寧な別れ.
Q | やんわり批判するときはどれですか。 | 報告書がもう少し詳しいと、なお良いと思います。 | 報告書はひどい。 | あなたの報告書は使えない。 | 使い物にならない。 | 婉曲な批判.
Q | 約束するときはどれですか。 | 月曜日までに報告書をお手元にお届けします。 | 月曜日報告書たぶん。 | 約束はできない、月曜。 | 月曜報告書かも。 | 約束.
Q | 他の人に発言を促すときはどれですか。 | 田中さんはどうお考えですか。 | 田中、話せ。 | 早く話して。 | 田中さん、今。 | 丁寧な促し.
Q | 理解を求めるときはどれですか。 | 会議を延期せざるを得ない点、ご理解いただければ幸いです。 | 理解して。 | 会議延期、以上。 | 理解しなきゃだめだ。 | 理解の依頼.
Q | 驚きを表すときはどれですか。 | 本当ですか。全く知りませんでした。 | 嘘つき。 | ありえない事。 | 驚きます私を。 | 驚きの表現.
Q | 飲み物を勧めるときはどれですか。 | コーヒーはいかがですか。 | コーヒー飲め。 | コーヒー欲しい。 | コーヒー取れ。 | 丁寧な勧め.
Q | 手助けの申し出を丁寧に断るときはどれですか。 | ありがとうございます。でも一人で大丈夫です。 | 要らない。 | やだ。 | 放っておいて。 | 丁寧な辞退.
Q | 意見をやわらげて言うときはどれですか。 | その措置だけでは不十分かもしれません。 | 不十分だ、絶対。 | みんな知っている。 | そうだ、以上。 | 婉曲.
Q | 二つを比べるときはどれですか。 | 一方では安いですが、他方では長持ちしません。 | 安い長持ちしない。 | 安いか長持ちか。 | 一つは、もう一つは違う。 | 対比.
Q | 話題を変えるときはどれですか。 | ところで、新しいプロジェクトのことはお聞きですか。 | 別の話。 | もういい、話題。 | 話題変えて。 | 話題転換.
Q | 用語の意味を尋ねるときはどれですか。 | その言葉は具体的にどういう意味でしょうか。 | その言葉何。 | 説明しろ。 | 分かりません。 | 明確化.
Q | 約束を確認するときはどれですか。 | では、木曜日の十時にお会いしましょう。 | 木曜十時私たち。 | 木曜、行く。 | 木曜十時君。 | 確認.
Q | 悪い知らせを聞いた人にかける言葉はどれですか。 | それはお気の毒に。何かできることはありますか。 | それは君のせい。 | 何でもない。 | 人生はそんなもの。 | 共感.
Q | 静かにしてほしいと丁寧に頼むときはどれですか。 | もう少しお静かにお願いできますか。 | 静かに！ | 黙れ。 | うるさい。 | 丁寧な依頼.
Q | 相手の同意を求めるときはどれですか。 | この点についてご同意いただけますか。 | 同意？ | 同意あなた？ | はいかいいえ？ | 丁寧な質問.
Q | 遺憾を表明するときはどれですか。 | 合意に至らなかったことを大変残念に思います。 | 遺憾合意ない。 | 合意なし、残念。 | 残念だ合意。 | 遺憾の表明.
Q | 遅刻をわびるときはどれですか。 | 遅れて申し訳ございません。電車が遅延しておりました。 | 遅れごめん。 | 私遅れた。 | 電車遅い私。 | 丁寧な謝罪.
Q | 要約するときはどれですか。 | 要するに、柔軟に対応する必要があります。 | 要約私たち柔軟。 | 終わり柔軟。 | 全部柔軟、以上。 | 要約.
Q | 時間をもらうときはどれですか。 | 明日まで考えさせていただけますか。 | 明日考える。 | 明日考えるあなた。 | 考えない。 | 猶予の依頼.
Q | 人を紹介するときはどれですか。 | 同僚の田中をご紹介いたします。 | これ田中。 | 田中さんあなた。 | 同僚田中ここ。 | 紹介.
Q | 贈り物への感謝はどれですか。 | このようなお心遣い、誠にありがとうございます。 | プレゼントありがとね。 | 私プレゼントある。 | まあ、はい。 | 感謝.
Q | 主張の根拠を示すときはどれですか。 | このことは最新の数値で裏付けられます。 | 信じて。 | 数値は同じ。 | みんなが言っています。 | 根拠提示.
Q | 同僚と電話で話したいときはどれですか。 | お忙しいところ恐れ入ります。田中様をお願いできますか。 | 田中出せ！ | 田中欲しい。 | 田中くれ。 | 丁寧な電話.
Q | 会議で発言するときはどれですか。 | 一言よろしいでしょうか。 | 私の番。 | 聞いてください！ | 今話す。 | 発言許可.
Q | 約束の延期を頼むときはどれですか。 | お約束を来週に延ばしていただけませんでしょうか。 | 約束来週あなた。 | 延ばす、了解。 | 約束消えた。 | 丁寧な依頼.
Q | 条件付きで賛成するときはどれですか。 | 原則としては賛成ですが、リスクがあると考えます。 | 賛成しません。 | いいけどだめ。 | はいいいえ何も。 | 条件付き賛成.
