# gramatica
Q | ＿＿他很努力，成绩还是不理想。 | 尽管 | 何况 | 不如 | 因此 | 尽管…还是: 让步.
Q | 请选择正确的汉字：“辩论”的“辩”是 | 辩 | 辨 | 辫 | 瓣 | 辩论 = debate.
Q | 请选择正确的汉字：“作息”的“息”是 | 息 | 熄 | 悉 | 惜 | 作息 = horario.
Q | 请选择正确的汉字：“渡过”的“渡”是（渡河） | 渡 | 度 | 镀 | 肚 | 渡河 = cruzar el río.
Q | 请选择正确的汉字：“预防”的“防”是 | 防 | 坊 | 仿 | 访 | 预防.
Q | 请选择正确的汉字：“成绩”的“绩”是 | 绩 | 积 | 迹 | 缉 | 成绩.
Q | 请选择正确的汉字：“建议”的“议”是 | 议 | 义 | 仪 | 艺 | 建议.
Q | 请选择正确的汉字：“遵守”的“遵”是 | 遵 | 尊 | 樽 | 蹲 | 遵守 = respetar.
Q | 请选择正确的汉字：“尊重”的“尊”是 | 尊 | 遵 | 樽 | 蹲 | 尊重 = respetar (persona).
Q | 请选择正确的汉字：“反映”的“映”是 | 映 | 应 | 影 | 央 | 反映 = reflejar.
Q | 请选择正确的汉字：“协调”的“协”是 | 协 | 胁 | 挟 | 携 | 协调.
Q | 请选择正确的汉字：“稳定”的“稳”是 | 稳 | 隐 | 稍 | 秘 | 稳定.
Q | 请选择正确的汉字：“培养”的“培”是 | 培 | 陪 | 赔 | 倍 | 培养.
Q | 请选择正确的汉字：“陪伴”的“陪”是 | 陪 | 培 | 赔 | 倍 | 陪伴 = acompañar.
Q | 请选择正确的汉字：“赔偿”的“赔”是 | 赔 | 陪 | 培 | 倍 | 赔偿 = indemnizar.
Q | 请把下列词语按正确的顺序排列：他 / 把 / 书 / 放在桌子上 | 他把书放在桌子上 | 把他书放在桌子上 | 他书把放在桌子上 | 书他把放在桌子上 | 把字句语序: 主语+把+宾语+动词.
Q | 请把下列词语按正确的顺序排列：被 / 小偷 / 警察 / 抓住了 | 小偷被警察抓住了 | 警察被小偷抓住了 | 被小偷警察抓住了 | 小偷警察被抓住了 | 被字句.
Q | 请把下列词语按正确的顺序排列：越来越 / 天气 / 冷 / 了 | 天气越来越冷了 | 越来越天气冷了 | 天气冷越来越了 | 冷了越来越天气 | 语序.
Q | 请把下列词语按正确的顺序排列：是 / 我 / 昨天 / 去的 / 北京 | 我是昨天去的北京 | 我昨天是去的北京 | 是我昨天去北京的 | 我去是的昨天北京 | 是…的.
Q | 请把下列词语按正确的顺序排列：一定 / 会 / 他 / 成功 | 他一定会成功 | 一定他会成功 | 他会一定成功 | 会他一定成功 | 语序.
Q | 请把下列词语按正确的顺序排列：非常 / 这 / 有意思 / 部电影 | 这部电影非常有意思 | 这非常部电影有意思 | 非常这部电影有意思 | 这部非常电影有意思 | 语序.
Q | 请把下列词语按正确的顺序排列：他 / 汉语 / 说 / 得 / 很流利 | 他汉语说得很流利 | 他说汉语得很流利 | 汉语他说得很流利 | 他说得汉语很流利 | 得字补语: 汉语说得很流利.
Q | 请把下列词语按正确的顺序排列：请 / 你 / 我 / 帮 / 一下 | 请你帮我一下 | 请我帮你一下 | 你请帮我一下 | 请你我帮一下 | 语序.
Q | 请把下列词语按正确的顺序排列：既然 / 你 / 来了 / 就 / 留下吧 | 既然你来了，就留下吧 | 你既然来了就，留下吧 | 就既然你来了留下吧 | 既然就你来了留下吧 | 既然…就…
Q | 请选择正确的汉字：“悬殊”的“殊”是 | 殊 | 珠 | 株 | 朱 | 悬殊 = enorme diferencia.
Q | 请选择正确的汉字：“迅速”的“迅”是 | 迅 | 讯 | 汛 | 逊 | 迅速.
Q | 请选择正确的汉字：“履行”的“履”是 | 履 | 覆 | 复 | 腹 | 履行 = cumplir.
Q | 请选择正确的汉字：“奥秘”的“奥”是 | 奥 | 澳 | 懊 | 傲 | 奥秘 = misterio.
Q | 请选择正确的汉字：“捍卫”的“捍”是 | 捍 | 悍 | 焊 | 旱 | 捍卫 = defender.
Q | 请选择正确的汉字：“杰出”的“杰”是 | 杰 | 洁 | 结 | 捷 | 杰出 = sobresaliente.
# speaking
Q | 没听清对方说的话，怎样礼貌地请对方重复？ | 不好意思，请您再说一遍好吗？ | 什么？ | 再说！ | 你说快了。 | 礼貌请求.
Q | 同事向你道谢，怎样回答比较自然？ | 不客气，能帮上忙就好。 | 我也谢谢你你。 | 不用谢，别说了。 | 你别说这种话。 | 自然回答.
Q | 怎样礼貌地表示不同意？ | 您说得有道理，不过我有不同的看法。 | 你错了。 | 胡说八道。 | 那是废话。 | 礼貌反对.
Q | 怎样礼貌地打断别人？ | 不好意思打断一下，我能补充一句吗？ | 闭嘴。 | 现在我说。 | 别说了。 | 礼貌打断.
Q | 怎样礼貌地拒绝邀请？ | 谢谢您的邀请，可惜我已经有安排了。 | 不去。 | 没兴趣。 | 我不来了，再见。 | 礼貌拒绝.
Q | 需要时间考虑时怎么说？ | 这个问题很好，让我想一想。 | 不知道。 | 没想法。 | 问别人吧。 | 争取时间.
Q | 怎样向陌生人问路？ | 请问，去火车站怎么走？ | 火车站哪？ | 说火车站！ | 火车站，快点！ | 礼貌问路.
Q | 在酒店怎样礼貌地投诉？ | 不好意思，我房间的暖气不工作，能帮我看看吗？ | 你们的暖气太烂了。 | 马上给我修好。 | 你们酒店最差。 | 礼貌投诉.
Q | 别人祝贺你通过考试，怎样回答？ | 谢谢，我很高兴。 | 那当然。 | 很容易。 | 我知道。 | 自然回答.
Q | 怎样礼貌地提建议？ | 我们把会议推迟一下，您觉得怎么样？ | 推迟吧。 | 会议你推迟。 | 你推迟就是了。 | 提议.
Q | 怎样表达自己的看法？ | 依我看，我们应该继续这个项目。 | 我看项目继续。 | 项目是我看。 | 看继续项目。 | 表达观点.
Q | 怎样表示赞同？ | 没错，我也是这么想的。 | 是不是。 | 不是这样。 | 也许吧可能。 | 赞同.
Q | 怎样请求帮助？ | 麻烦您帮我一下，可以吗？ | 你现在帮我。 | 你帮。 | 给我帮助。 | 礼貌求助.
Q | 别人为迟到道歉，怎样回应？ | 没关系，请坐吧。 | 是你的错。 | 太晚了！ | 又迟到了！ | 体谅.
Q | 面试时遇到不会回答的问题，怎么说？ | 这个问题我不太确定，会回去了解后再答复您。 | 不知道。 | 没想过。 | 你问别人吧。 | 专业回答.
Q | 在餐厅怎样要求结账？ | 请帮我们结一下账。 | 结账！ | 给账单。 | 我现在付快点。 | 礼貌结账.
Q | 怎样礼貌地结束谈话？ | 和您聊天很愉快，不过我得先走了。 | 我走了。 | 别说了。 | 再见，太无聊了。 | 礼貌结束.
Q | 怎样开始一个说明？ | 下面我简单介绍一下它是怎么运作的。 | 我快点讲。 | 我现在讲。 | 就这样。 | 正式开场.
Q | 怎样结束一场报告？ | 谢谢大家的聆听，欢迎提问。 | 完了。 | 就这些，再见。 | 结束了，请走吧。 | 报告结尾.
Q | 怎样强调重要的一点？ | 我想强调的是，安全永远放在第一位。 | 安全就是安全。 | 我强调安全。 | 我安全。 | 强调.
Q | 怎样举例？ | 比如说，新开通的公交线路就是一个例子。 | 例子公交。 | 公交新例子是。 | 例子公交的。 | 举例.
Q | 不确定时怎么说？ | 我不太确定，不过好像是星期二。 | 星期二不确定。 | 星期二肯定不我。 | 我不星期二。 | 表示不确定.
Q | 怎样给人建议？ | 如果我是你，我会接受这个提议。 | 接受。 | 你必须接受。 | 提议接受现在。 | 建议.
Q | 商务晚宴结束时怎么说？ | 感谢您的邀请，今晚过得很愉快。 | 谢谢，再见。 | 我回家了。 | 饭菜一般。 | 正式告别.
Q | 怎样委婉地批评？ | 我觉得这份报告如果再详细一点就更好了。 | 报告很差。 | 你的报告没用。 | 没法用。 | 委婉批评.
Q | 怎样作出承诺？ | 我保证周一前把报告放在您桌上。 | 报告也许周一。 | 不保证，周一。 | 周一报告可能。 | 承诺.
Q | 怎样请别人发言？ | 王老师，您怎么看？ | 王老师，说。 | 快说吧。 | 王老师，现在。 | 礼貌邀请.
Q | 怎样请求理解？ | 会议不得不推迟，请大家谅解。 | 你们理解。 | 会议推迟，完了。 | 必须理解。 | 请求谅解.
Q | 怎样表达惊讶？ | 真的吗？我完全没想到！ | 你骗人。 | 不可能的事。 | 我惊讶你。 | 惊讶.
Q | 怎样招待客人？ | 您想喝杯咖啡吗？ | 喝咖啡。 | 你要咖啡。 | 拿咖啡。 | 招待.
Q | 怎样礼貌地谢绝别人的帮助？ | 谢谢您，不过我自己可以应付。 | 不需要你。 | 不要。 | 别管我。 | 礼貌谢绝.
Q | 怎样把意见说得委婉？ | 这个措施也许还不够。 | 绝对不够。 | 人人都知道。 | 就是这样。 | 委婉.
Q | 怎样比较两个方案？ | 一方面成本更低，另一方面耐用性差一些。 | 便宜耐用不。 | 便宜或耐用。 | 一个是，另一个不是。 | 对比.
Q | 怎样转换话题？ | 对了，您听说新项目的事了吗？ | 换话题。 | 够了，话题。 | 转话题。 | 转换话题.
Q | 怎样请对方解释一个术语？ | 请问您说的这个词具体是什么意思？ | 解释一下词。 | 词什么。 | 我不懂。 | 澄清.
Q | 怎样确认约定？ | 那我们就星期四十点见。 | 星期四十点我们。 | 星期四，我来。 | 星期四十点你。 | 确认.
Q | 别人告诉你一个坏消息，怎样回应？ | 真遗憾，我能为您做点什么吗？ | 那是你的错。 | 没什么。 | 人生就这样。 | 共情.
Q | 怎样礼貌地请人安静？ | 能请你们小声一点吗？ | 安静！ | 闭嘴！ | 吵死了。 | 礼貌请求.
Q | 怎样征求对方同意？ | 您同意这一点吗？ | 你同意？ | 同意你？ | 是不是同意？ | 礼貌询问.
Q | 怎样表示遗憾？ | 没能达成一致，我深感遗憾。 | 遗憾没一致。 | 没一致，可惜。 | 可惜一致。 | 表示遗憾.
Q | 怎样为迟到道歉？ | 对不起，我来晚了，火车晚点了。 | 迟到对不起。 | 我晚了，是。 | 晚点火车我。 | 正式道歉.
Q | 怎样做总结？ | 总而言之，我们必须保持灵活。 | 总结我们灵活。 | 完了灵活。 | 全灵活，结束。 | 总结.
Q | 怎样请求宽限时间？ | 我可以考虑到明天吗？ | 我明天想。 | 明天想你。 | 不想。 | 请求时间.
Q | 怎样介绍别人？ | 请允许我介绍一下，这位是我的同事王老师。 | 这是王，看。 | 王老师，你。 | 同事王这里。 | 介绍.
Q | 怎样感谢别人的礼物？ | 您太费心了，非常感谢！ | 谢谢礼物。 | 我有礼物。 | 好，是。 | 感谢.
Q | 怎样为主张提供依据？ | 这一点可以用最新的数据来证明。 | 就是这样，相信我。 | 数据一样。 | 大家都这么说。 | 提供依据.
Q | 怎样打电话找同事？ | 您好，请问王老师在吗？ | 王老师，现在！ | 我要王老师。 | 叫王老师。 | 礼貌电话.
Q | 怎样在会上请求发言？ | 我可以说几句吗？ | 该我了。 | 听我说！ | 我现在说。 | 请求发言.
Q | 怎样请求推迟约定？ | 我们的约定可以推迟到下周吗？ | 约定下周你。 | 我推迟，好。 | 约定没了。 | 礼貌请求.
Q | 怎样表示有条件的同意？ | 原则上我同意，不过我觉得有风险。 | 我不同意，是的。 | 好，但不好。 | 是不是什么也没有。 | 有条件同意.
